Country;City;AvgTemperatureFahrenheit;Date;Month;Year;AvgTemperatureCelsius
Argentina;Buenos Aires;72.9;10/03/2000;3;2000;
Argentina;Buenos Aires;73.3;11/03/2000;3;2000;
Argentina;Buenos Aires;73.0;12/03/2000;3;2000;
Argentina;Buenos Aires;75.2;13/03/2000;3;2000;
Argentina;Buenos Aires;75.9;14/03/2000;3;2000;
Argentina;Buenos Aires;78.8;15/03/2000;3;2000;
Argentina;Buenos Aires;75.0;16/03/2000;3;2000;
Argentina;Buenos Aires;66.5;17/03/2000;3;2000;
Argentina;Buenos Aires;66.6;18/03/2000;3;2000;
Argentina;Buenos Aires;70.7;19/03/2000;3;2000;
Argentina;Buenos Aires;70.0;20/03/2000;3;2000;
Argentina;Buenos Aires;67.6;21/03/2000;3;2000;
Argentina;Buenos Aires;64.7;22/03/2000;3;2000;
Argentina;Buenos Aires;70.9;23/03/2000;3;2000;
Argentina;Buenos Aires;66.9;24/03/2000;3;2000;
Argentina;Buenos Aires;63.3;25/03/2000;3;2000;
Argentina;Buenos Aires;66.8;26/03/2000;3;2000;
Argentina;Buenos Aires;62.0;27/03/2000;3;2000;
Argentina;Buenos Aires;55.2;28/03/2000;3;2000;
Argentina;Buenos Aires;59.5;29/03/2000;3;2000;
Argentina;Buenos Aires;63.7;30/03/2000;3;2000;
Argentina;Buenos Aires;67.5;31/03/2000;3;2000;
Argentina;Buenos Aires;62.4;01/04/2000;4;2000;
Argentina;Buenos Aires;59.4;02/04/2000;4;2000;
Argentina;Buenos Aires;64.3;03/04/2000;4;2000;
Argentina;Buenos Aires;66.8;04/04/2000;4;2000;
Argentina;Buenos Aires;67.9;05/04/2000;4;2000;
Argentina;Buenos Aires;67.5;06/04/2000;4;2000;
Argentina;Buenos Aires;68.2;07/04/2000;4;2000;
Argentina;Buenos Aires;63.6;08/04/2000;4;2000;
Argentina;Buenos Aires;68.6;09/04/2000;4;2000;
Argentina;Buenos Aires;69.6;10/04/2000;4;2000;
Argentina;Buenos Aires;56.5;11/04/2000;4;2000;
Argentina;Buenos Aires;56.5;12/04/2000;4;2000;
Argentina;Buenos Aires;62.2;13/04/2000;4;2000;
Argentina;Buenos Aires;64.1;14/04/2000;4;2000;
Argentina;Buenos Aires;61.4;15/04/2000;4;2000;
Argentina;Buenos Aires;62.4;16/04/2000;4;2000;
Argentina;Buenos Aires;60.7;17/04/2000;4;2000;
Argentina;Buenos Aires;58.8;18/04/2000;4;2000;
Argentina;Buenos Aires;60.6;19/04/2000;4;2000;
Argentina;Buenos Aires;57.5;20/04/2000;4;2000;
Argentina;Buenos Aires;57.9;21/04/2000;4;2000;
Argentina;Buenos Aires;64.0;22/04/2000;4;2000;
Argentina;Buenos Aires;72.5;23/04/2000;4;2000;
Argentina;Buenos Aires;69.9;24/04/2000;4;2000;
Argentina;Buenos Aires;71.8;25/04/2000;4;2000;
Argentina;Buenos Aires;66.4;26/04/2000;4;2000;
Argentina;Buenos Aires;62.7;27/04/2000;4;2000;
Argentina;Buenos Aires;64.3;28/04/2000;4;2000;
Argentina;Buenos Aires;65.7;29/04/2000;4;2000;
Argentina;Buenos Aires;65.5;30/04/2000;4;2000;
Argentina;Buenos Aires;61.2;01/05/2000;5;2000;
Argentina;Buenos Aires;56.7;02/05/2000;5;2000;
Argentina;Buenos Aires;52.3;03/05/2000;5;2000;
Argentina;Buenos Aires;50.4;04/05/2000;5;2000;
Argentina;Buenos Aires;48.7;05/05/2000;5;2000;
Argentina;Buenos Aires;50.7;06/05/2000;5;2000;
Argentina;Buenos Aires;52.9;07/05/2000;5;2000;
Argentina;Buenos Aires;52.8;08/05/2000;5;2000;
Argentina;Buenos Aires;55.6;09/05/2000;5;2000;
Argentina;Buenos Aires;54.1;10/05/2000;5;2000;
Argentina;Buenos Aires;55.3;11/05/2000;5;2000;
Argentina;Buenos Aires;61.5;12/05/2000;5;2000;
Argentina;Buenos Aires;57.6;13/05/2000;5;2000;
Argentina;Buenos Aires;60.2;14/05/2000;5;2000;
Argentina;Buenos Aires;60.7;15/05/2000;5;2000;
Argentina;Buenos Aires;58.5;16/05/2000;5;2000;
Argentina;Buenos Aires;57.6;17/05/2000;5;2000;
Argentina;Buenos Aires;54.9;18/05/2000;5;2000;
Argentina;Buenos Aires;56.8;19/05/2000;5;2000;
Argentina;Buenos Aires;58.2;20/05/2000;5;2000;
Argentina;Buenos Aires;59.9;21/05/2000;5;2000;
Argentina;Buenos Aires;59.1;22/05/2000;5;2000;
Argentina;Buenos Aires;54.0;23/05/2000;5;2000;
Argentina;Buenos Aires;63.2;24/05/2000;5;2000;
Argentina;Buenos Aires;61.5;25/05/2000;5;2000;
Argentina;Buenos Aires;54.2;26/05/2000;5;2000;
Argentina;Buenos Aires;51.7;27/05/2000;5;2000;
Argentina;Buenos Aires;51.2;28/05/2000;5;2000;
Argentina;Buenos Aires;59.7;29/05/2000;5;2000;
Argentina;Buenos Aires;53.9;30/05/2000;5;2000;
Argentina;Buenos Aires;49.8;31/05/2000;5;2000;
Argentina;Buenos Aires;44.2;01/06/2000;6;2000;
Argentina;Buenos Aires;52.6;02/06/2000;6;2000;
Argentina;Buenos Aires;57.1;03/06/2000;6;2000;
Argentina;Buenos Aires;62.0;04/06/2000;6;2000;
Argentina;Buenos Aires;65.1;05/06/2000;6;2000;
Argentina;Buenos Aires;58.1;06/06/2000;6;2000;
Argentina;Buenos Aires;53.5;07/06/2000;6;2000;
Argentina;Buenos Aires;56.9;08/06/2000;6;2000;
Argentina;Buenos Aires;58.8;09/06/2000;6;2000;
Argentina;Buenos Aires;58.2;10/06/2000;6;2000;
Argentina;Buenos Aires;53.6;11/06/2000;6;2000;
Argentina;Buenos Aires;59.4;12/06/2000;6;2000;
Argentina;Buenos Aires;67.1;13/06/2000;6;2000;
Argentina;Buenos Aires;70.7;14/06/2000;6;2000;
Argentina;Buenos Aires;57.8;15/06/2000;6;2000;
Argentina;Buenos Aires;47.1;16/06/2000;6;2000;
Argentina;Buenos Aires;40.9;17/06/2000;6;2000;
Argentina;Buenos Aires;44.8;18/06/2000;6;2000;
Argentina;Buenos Aires;46.1;19/06/2000;6;2000;
Argentina;Buenos Aires;46.0;20/06/2000;6;2000;
Argentina;Buenos Aires;43.4;21/06/2000;6;2000;
Argentina;Buenos Aires;50.4;22/06/2000;6;2000;
Argentina;Buenos Aires;55.2;23/06/2000;6;2000;
Argentina;Buenos Aires;55.6;24/06/2000;6;2000;
Argentina;Buenos Aires;53.0;25/06/2000;6;2000;
Argentina;Buenos Aires;52.1;26/06/2000;6;2000;
Argentina;Buenos Aires;51.9;27/06/2000;6;2000;
Argentina;Buenos Aires;55.8;28/06/2000;6;2000;
Argentina;Buenos Aires;47.4;29/06/2000;6;2000;
Argentina;Buenos Aires;52.6;30/06/2000;6;2000;
Argentina;Buenos Aires;56.0;01/07/2000;7;2000;
Argentina;Buenos Aires;51.1;02/07/2000;7;2000;
Argentina;Buenos Aires;48.3;03/07/2000;7;2000;
Argentina;Buenos Aires;55.2;04/07/2000;7;2000;
Argentina;Buenos Aires;56.3;05/07/2000;7;2000;
Argentina;Buenos Aires;65.0;06/07/2000;7;2000;
Argentina;Buenos Aires;56.0;07/07/2000;7;2000;
Argentina;Buenos Aires;46.2;08/07/2000;7;2000;
Argentina;Buenos Aires;43.5;09/07/2000;7;2000;
Argentina;Buenos Aires;43.1;10/07/2000;7;2000;
Argentina;Buenos Aires;40.6;11/07/2000;7;2000;
Argentina;Buenos Aires;41.5;12/07/2000;7;2000;
Argentina;Buenos Aires;37.4;13/07/2000;7;2000;
Argentina;Buenos Aires;41.1;14/07/2000;7;2000;
Argentina;Buenos Aires;40.9;15/07/2000;7;2000;
Argentina;Buenos Aires;40.1;16/07/2000;7;2000;
Argentina;Buenos Aires;42.1;17/07/2000;7;2000;
Argentina;Buenos Aires;44.3;18/07/2000;7;2000;
Argentina;Buenos Aires;41.5;19/07/2000;7;2000;
Argentina;Buenos Aires;42.5;20/07/2000;7;2000;
Argentina;Buenos Aires;52.0;21/07/2000;7;2000;
Argentina;Buenos Aires;42.8;22/07/2000;7;2000;
Argentina;Buenos Aires;44.6;23/07/2000;7;2000;
Argentina;Buenos Aires;49.1;24/07/2000;7;2000;
Argentina;Buenos Aires;47.7;25/07/2000;7;2000;
Argentina;Buenos Aires;44.9;26/07/2000;7;2000;
Argentina;Buenos Aires;50.3;27/07/2000;7;2000;
Argentina;Buenos Aires;42.8;28/07/2000;7;2000;
Argentina;Buenos Aires;47.0;29/07/2000;7;2000;
Argentina;Buenos Aires;50.2;30/07/2000;7;2000;
Argentina;Buenos Aires;51.3;31/07/2000;7;2000;
Argentina;Buenos Aires;55.9;01/08/2000;8;2000;
Argentina;Buenos Aires;51.9;02/08/2000;8;2000;
Argentina;Buenos Aires;44.3;03/08/2000;8;2000;
Argentina;Buenos Aires;44.3;04/08/2000;8;2000;
Argentina;Buenos Aires;54.3;05/08/2000;8;2000;
Argentina;Buenos Aires;56.1;06/08/2000;8;2000;
Argentina;Buenos Aires;58.5;07/08/2000;8;2000;
Argentina;Buenos Aires;53.0;08/08/2000;8;2000;
Argentina;Buenos Aires;47.7;09/08/2000;8;2000;
Argentina;Buenos Aires;44.1;10/08/2000;8;2000;
Argentina;Buenos Aires;41.3;11/08/2000;8;2000;
Argentina;Buenos Aires;44.8;12/08/2000;8;2000;
Argentina;Buenos Aires;47.0;13/08/2000;8;2000;
Argentina;Buenos Aires;51.5;14/08/2000;8;2000;
Argentina;Buenos Aires;53.3;15/08/2000;8;2000;
Argentina;Buenos Aires;56.1;16/08/2000;8;2000;
Argentina;Buenos Aires;59.3;17/08/2000;8;2000;
Argentina;Buenos Aires;57.4;18/08/2000;8;2000;
Argentina;Buenos Aires;64.6;19/08/2000;8;2000;
Argentina;Buenos Aires;55.1;20/08/2000;8;2000;
Argentina;Buenos Aires;56.9;21/08/2000;8;2000;
Argentina;Buenos Aires;58.5;22/08/2000;8;2000;
Argentina;Buenos Aires;56.2;23/08/2000;8;2000;
Argentina;Buenos Aires;53.3;24/08/2000;8;2000;
Argentina;Buenos Aires;52.3;25/08/2000;8;2000;
Argentina;Buenos Aires;51.1;26/08/2000;8;2000;
Argentina;Buenos Aires;49.0;27/08/2000;8;2000;
Argentina;Buenos Aires;42.2;28/08/2000;8;2000;
Argentina;Buenos Aires;49.9;29/08/2000;8;2000;
Argentina;Buenos Aires;48.1;30/08/2000;8;2000;
Argentina;Buenos Aires;47.5;31/08/2000;8;2000;
Argentina;Buenos Aires;46.9;01/09/2000;9;2000;
Argentina;Buenos Aires;51.0;02/09/2000;9;2000;
Argentina;Buenos Aires;52.4;03/09/2000;9;2000;
Argentina;Buenos Aires;57.5;04/09/2000;9;2000;
Argentina;Buenos Aires;57.4;05/09/2000;9;2000;
Argentina;Buenos Aires;57.8;06/09/2000;9;2000;
Argentina;Buenos Aires;62.9;07/09/2000;9;2000;
Argentina;Buenos Aires;60.4;08/09/2000;9;2000;
Argentina;Buenos Aires;55.5;09/09/2000;9;2000;
Argentina;Buenos Aires;59.2;10/09/2000;9;2000;
Argentina;Buenos Aires;58.6;11/09/2000;9;2000;
Argentina;Buenos Aires;47.3;12/09/2000;9;2000;
Argentina;Buenos Aires;45.9;13/09/2000;9;2000;
Argentina;Buenos Aires;45.5;14/09/2000;9;2000;
Argentina;Buenos Aires;49.4;15/09/2000;9;2000;
Argentina;Buenos Aires;52.4;16/09/2000;9;2000;
Argentina;Buenos Aires;58.1;17/09/2000;9;2000;
Argentina;Buenos Aires;62.7;18/09/2000;9;2000;
Argentina;Buenos Aires;59.9;19/09/2000;9;2000;
Argentina;Buenos Aires;59.9;20/09/2000;9;2000;
Argentina;Buenos Aires;56.0;21/09/2000;9;2000;
Argentina;Buenos Aires;54.8;22/09/2000;9;2000;
Argentina;Buenos Aires;59.3;23/09/2000;9;2000;
Argentina;Buenos Aires;46.9;24/09/2000;9;2000;
Argentina;Buenos Aires;47.0;25/09/2000;9;2000;
Argentina;Buenos Aires;57.4;26/09/2000;9;2000;
Argentina;Buenos Aires;62.2;27/09/2000;9;2000;
Argentina;Buenos Aires;65.2;28/09/2000;9;2000;
Argentina;Buenos Aires;67.0;29/09/2000;9;2000;
Argentina;Buenos Aires;68.3;30/09/2000;9;2000;
Argentina;Buenos Aires;62.3;01/10/2000;10;2000;
Argentina;Buenos Aires;53.9;02/10/2000;10;2000;
Argentina;Buenos Aires;55.2;03/10/2000;10;2000;
Argentina;Buenos Aires;55.3;04/10/2000;10;2000;
Argentina;Buenos Aires;52.2;05/10/2000;10;2000;
Argentina;Buenos Aires;52.7;06/10/2000;10;2000;
Argentina;Buenos Aires;62.0;07/10/2000;10;2000;
Argentina;Buenos Aires;65.2;08/10/2000;10;2000;
Argentina;Buenos Aires;66.2;09/10/2000;10;2000;
Argentina;Buenos Aires;60.2;10/10/2000;10;2000;
Argentina;Buenos Aires;66.5;11/10/2000;10;2000;
Argentina;Buenos Aires;66.0;12/10/2000;10;2000;
Argentina;Buenos Aires;56.8;13/10/2000;10;2000;
Argentina;Buenos Aires;57.0;14/10/2000;10;2000;
Argentina;Buenos Aires;56.8;15/10/2000;10;2000;
Argentina;Buenos Aires;60.8;16/10/2000;10;2000;
Argentina;Buenos Aires;61.6;17/10/2000;10;2000;
Argentina;Buenos Aires;62.1;18/10/2000;10;2000;
Argentina;Buenos Aires;68.1;19/10/2000;10;2000;
Argentina;Buenos Aires;69.0;20/10/2000;10;2000;
Argentina;Buenos Aires;74.0;21/10/2000;10;2000;
Argentina;Buenos Aires;71.2;22/10/2000;10;2000;
Argentina;Buenos Aires;57.8;23/10/2000;10;2000;
Argentina;Buenos Aires;57.2;24/10/2000;10;2000;
Argentina;Buenos Aires;62.5;25/10/2000;10;2000;
Argentina;Buenos Aires;67.2;26/10/2000;10;2000;
Argentina;Buenos Aires;62.6;27/10/2000;10;2000;
Argentina;Buenos Aires;55.5;28/10/2000;10;2000;
Argentina;Buenos Aires;53.4;29/10/2000;10;2000;
Argentina;Buenos Aires;69.0;30/10/2000;10;2000;
Argentina;Buenos Aires;65.8;31/10/2000;10;2000;
Argentina;Buenos Aires;65.0;01/11/2000;11;2000;
Argentina;Buenos Aires;65.3;02/11/2000;11;2000;
Argentina;Buenos Aires;64.7;03/11/2000;11;2000;
Argentina;Buenos Aires;64.5;04/11/2000;11;2000;
Argentina;Buenos Aires;65.4;05/11/2000;11;2000;
Argentina;Buenos Aires;63.9;06/11/2000;11;2000;
Argentina;Buenos Aires;64.2;07/11/2000;11;2000;
Argentina;Buenos Aires;62.6;08/11/2000;11;2000;
Argentina;Buenos Aires;66.0;09/11/2000;11;2000;
Argentina;Buenos Aires;64.4;10/11/2000;11;2000;
Argentina;Buenos Aires;65.8;11/11/2000;11;2000;
Argentina;Buenos Aires;62.4;12/11/2000;11;2000;
Argentina;Buenos Aires;58.4;13/11/2000;11;2000;
Argentina;Buenos Aires;50.7;14/11/2000;11;2000;
Argentina;Buenos Aires;54.6;15/11/2000;11;2000;
Argentina;Buenos Aires;64.2;16/11/2000;11;2000;
Argentina;Buenos Aires;71.9;17/11/2000;11;2000;
Argentina;Buenos Aires;74.9;18/11/2000;11;2000;
Argentina;Buenos Aires;67.7;19/11/2000;11;2000;
Argentina;Buenos Aires;61.6;20/11/2000;11;2000;
Argentina;Buenos Aires;66.7;21/11/2000;11;2000;
Argentina;Buenos Aires;71.1;22/11/2000;11;2000;
Argentina;Buenos Aires;70.3;23/11/2000;11;2000;
Argentina;Buenos Aires;59.1;24/11/2000;11;2000;
Argentina;Buenos Aires;62.9;25/11/2000;11;2000;
Argentina;Buenos Aires;72.5;26/11/2000;11;2000;
Argentina;Buenos Aires;74.5;27/11/2000;11;2000;
Argentina;Buenos Aires;67.4;28/11/2000;11;2000;
Argentina;Buenos Aires;57.9;29/11/2000;11;2000;
Argentina;Buenos Aires;78.9;01/12/2000;12;2000;
Argentina;Buenos Aires;72.6;02/12/2000;12;2000;
Argentina;Buenos Aires;64.1;03/12/2000;12;2000;
Argentina;Buenos Aires;60.4;04/12/2000;12;2000;
Argentina;Buenos Aires;67.0;05/12/2000;12;2000;
Argentina;Buenos Aires;77.4;06/12/2000;12;2000;
Argentina;Buenos Aires;79.5;07/12/2000;12;2000;
Argentina;Buenos Aires;73.8;08/12/2000;12;2000;
Argentina;Buenos Aires;78.0;09/12/2000;12;2000;
Argentina;Buenos Aires;66.0;10/12/2000;12;2000;
Argentina;Buenos Aires;74.8;11/12/2000;12;2000;
Argentina;Buenos Aires;75.3;12/12/2000;12;2000;
Argentina;Buenos Aires;81.1;13/12/2000;12;2000;
Argentina;Buenos Aires;79.2;14/12/2000;12;2000;
Argentina;Buenos Aires;63.2;15/12/2000;12;2000;
Argentina;Buenos Aires;59.4;16/12/2000;12;2000;
Argentina;Buenos Aires;73.1;17/12/2000;12;2000;
Argentina;Buenos Aires;75.6;18/12/2000;12;2000;
Argentina;Buenos Aires;69.1;19/12/2000;12;2000;
Argentina;Buenos Aires;66.2;20/12/2000;12;2000;
Argentina;Buenos Aires;69.9;21/12/2000;12;2000;
Argentina;Buenos Aires;71.5;22/12/2000;12;2000;
Argentina;Buenos Aires;65.7;23/12/2000;12;2000;
Argentina;Buenos Aires;68.7;24/12/2000;12;2000;
Argentina;Buenos Aires;78.4;25/12/2000;12;2000;
Argentina;Buenos Aires;79.6;26/12/2000;12;2000;
Argentina;Buenos Aires;73.0;27/12/2000;12;2000;
Argentina;Buenos Aires;70.9;28/12/2000;12;2000;
Argentina;Buenos Aires;72.8;29/12/2000;12;2000;
Argentina;Buenos Aires;70.6;30/12/2000;12;2000;
Argentina;Buenos Aires;77.0;31/12/2000;12;2000;
Argentina;Buenos Aires;80.1;01/01/2001;1;2001;
Argentina;Buenos Aires;83.9;02/01/2001;1;2001;
Argentina;Buenos Aires;84.2;03/01/2001;1;2001;
Argentina;Buenos Aires;84.7;04/01/2001;1;2001;
Argentina;Buenos Aires;88.1;05/01/2001;1;2001;
Argentina;Buenos Aires;82.3;06/01/2001;1;2001;
Argentina;Buenos Aires;77.8;07/01/2001;1;2001;
Argentina;Buenos Aires;74.3;08/01/2001;1;2001;
Argentina;Buenos Aires;69.6;09/01/2001;1;2001;
Argentina;Buenos Aires;67.9;10/01/2001;1;2001;
Argentina;Buenos Aires;64.2;11/01/2001;1;2001;
Argentina;Buenos Aires;70.1;12/01/2001;1;2001;
Argentina;Buenos Aires;74.3;13/01/2001;1;2001;
Argentina;Buenos Aires;75.1;14/01/2001;1;2001;
Argentina;Buenos Aires;73.8;15/01/2001;1;2001;
Argentina;Buenos Aires;80.6;16/01/2001;1;2001;
Argentina;Buenos Aires;82.9;17/01/2001;1;2001;
Argentina;Buenos Aires;76.2;18/01/2001;1;2001;
Argentina;Buenos Aires;66.1;19/01/2001;1;2001;
Argentina;Buenos Aires;69.4;20/01/2001;1;2001;
Argentina;Buenos Aires;73.8;21/01/2001;1;2001;
Argentina;Buenos Aires;78.2;22/01/2001;1;2001;
Argentina;Buenos Aires;80.2;23/01/2001;1;2001;
Argentina;Buenos Aires;77.7;24/01/2001;1;2001;
Argentina;Buenos Aires;76.2;25/01/2001;1;2001;
Argentina;Buenos Aires;78.0;26/01/2001;1;2001;
Argentina;Buenos Aires;74.6;27/01/2001;1;2001;
Argentina;Buenos Aires;72.2;28/01/2001;1;2001;
Argentina;Buenos Aires;70.5;29/01/2001;1;2001;
Argentina;Buenos Aires;73.2;30/01/2001;1;2001;
Argentina;Buenos Aires;76.9;31/01/2001;1;2001;
Argentina;Buenos Aires;73.4;01/02/2001;2;2001;
Argentina;Buenos Aires;76.5;02/02/2001;2;2001;
Argentina;Buenos Aires;66.7;03/02/2001;2;2001;
Argentina;Buenos Aires;74.2;04/02/2001;2;2001;
Argentina;Buenos Aires;76.8;05/02/2001;2;2001;
Argentina;Buenos Aires;78.5;06/02/2001;2;2001;
Argentina;Buenos Aires;77.5;07/02/2001;2;2001;
Argentina;Buenos Aires;80.1;08/02/2001;2;2001;
Argentina;Buenos Aires;81.4;09/02/2001;2;2001;
Argentina;Buenos Aires;75.6;10/02/2001;2;2001;
Argentina;Buenos Aires;65.7;11/02/2001;2;2001;
Argentina;Buenos Aires;67.0;12/02/2001;2;2001;
Argentina;Buenos Aires;70.7;13/02/2001;2;2001;
Argentina;Buenos Aires;73.3;14/02/2001;2;2001;
Argentina;Buenos Aires;75.0;15/02/2001;2;2001;
Argentina;Buenos Aires;77.2;16/02/2001;2;2001;
Argentina;Buenos Aires;80.4;17/02/2001;2;2001;
Argentina;Buenos Aires;77.9;18/02/2001;2;2001;
Argentina;Buenos Aires;80.0;19/02/2001;2;2001;
Argentina;Buenos Aires;82.9;20/02/2001;2;2001;
Argentina;Buenos Aires;85.6;21/02/2001;2;2001;
Argentina;Buenos Aires;73.7;22/02/2001;2;2001;
Argentina;Buenos Aires;83.3;23/02/2001;2;2001;
Argentina;Buenos Aires;77.0;25/02/2001;2;2001;
Argentina;Buenos Aires;75.9;26/02/2001;2;2001;
Argentina;Buenos Aires;78.7;27/02/2001;2;2001;
Argentina;Buenos Aires;83.5;28/02/2001;2;2001;
Argentina;Buenos Aires;76.7;01/03/2001;3;2001;
Argentina;Buenos Aires;75.5;02/03/2001;3;2001;
Argentina;Buenos Aires;77.5;03/03/2001;3;2001;
Argentina;Buenos Aires;84.7;04/03/2001;3;2001;
Argentina;Buenos Aires;74.8;05/03/2001;3;2001;
Argentina;Buenos Aires;71.8;06/03/2001;3;2001;
Argentina;Buenos Aires;71.0;07/03/2001;3;2001;
Argentina;Buenos Aires;75.7;08/03/2001;3;2001;
Argentina;Buenos Aires;78.6;09/03/2001;3;2001;
Argentina;Buenos Aires;77.6;10/03/2001;3;2001;
Argentina;Buenos Aires;69.1;11/03/2001;3;2001;
Argentina;Buenos Aires;75.7;12/03/2001;3;2001;
Argentina;Buenos Aires;78.2;13/03/2001;3;2001;
Argentina;Buenos Aires;77.3;14/03/2001;3;2001;
Argentina;Buenos Aires;80.0;15/03/2001;3;2001;
Argentina;Buenos Aires;75.0;16/03/2001;3;2001;
Argentina;Buenos Aires;74.4;17/03/2001;3;2001;
Argentina;Buenos Aires;76.9;18/03/2001;3;2001;
Argentina;Buenos Aires;63.2;19/03/2001;3;2001;
Argentina;Buenos Aires;63.3;20/03/2001;3;2001;
Argentina;Buenos Aires;64.7;21/03/2001;3;2001;
Argentina;Buenos Aires;67.0;22/03/2001;3;2001;
Argentina;Buenos Aires;68.2;23/03/2001;3;2001;
Argentina;Buenos Aires;68.1;24/03/2001;3;2001;
Argentina;Buenos Aires;65.8;25/03/2001;3;2001;
Argentina;Buenos Aires;64.4;26/03/2001;3;2001;
Argentina;Buenos Aires;62.3;27/03/2001;3;2001;
Argentina;Buenos Aires;62.6;28/03/2001;3;2001;
Argentina;Buenos Aires;66.6;29/03/2001;3;2001;
Argentina;Buenos Aires;65.3;30/03/2001;3;2001;
Argentina;Buenos Aires;66.5;31/03/2001;3;2001;
Argentina;Buenos Aires;71.0;01/04/2001;4;2001;
Argentina;Buenos Aires;72.2;02/04/2001;4;2001;
Argentina;Buenos Aires;61.4;03/04/2001;4;2001;
Argentina;Buenos Aires;57.9;04/04/2001;4;2001;
Argentina;Buenos Aires;61.9;05/04/2001;4;2001;
Argentina;Buenos Aires;59.9;06/04/2001;4;2001;
Argentina;Buenos Aires;61.7;07/04/2001;4;2001;
Argentina;Buenos Aires;67.0;08/04/2001;4;2001;
Argentina;Buenos Aires;66.2;09/04/2001;4;2001;
